actor,pessoa
pgrandin,17009
gijzelaerr,16906
bvssvni,16885
shiftkey-tester,16876
autoblogsc6,16870
openshift-bot,16809
choigoonho,16724
mikemcquaid,16500
claribel5z,16413
scrutinizer-notifier,16390
citrix-openstack-build,16376
gregnietsky,16350
jreback,16243
dvcsconnectortest,16179
PVince81,16096
gitter-badger,15942
kunstmusik,15936
TestCaTissue,15774
yegor256,15563
SparkQA,15368
nh2,15258
pwllw,15177
kevinsawicki,15061
AsherBond,14923
pkt,14830
fabpot,14738
cheapproductsol,14720
senwell,14659
buildguy,14468
mattben,14269
www1135,14151
mihaelacr-google,14139
canyou7can,14052
Keithbsmiley,13917
CocoaPodsBot,13913
markstory,13904
paranoiasystem,13848
Di0gen,13766
sameb,13705
bors-servo,13659
KatherineMichel,13627
boss-robot,13534
DeepDiver1975,13260
taylorotwell,13218
midasf,13105
sternk,13097
yuriy-vorontsov,13068
xin3liang,13054
alex73,13015
cvrebert,13001
jacknagel,12795
bitdeli-chef,12782
cbiermann,12690
SergeyZh,12670
huangjinqiang,12585
thatch45,12584
dougwilson,12539
BenediktSeidl,12460
amrav,12432
micahyoung,12377
mgwhitfield,12230
XhmikosR,12216
llvm-mirror,12125
parkr,12096
waj,12074
rforge,12061
spooning,12059
jirabitbucketconnector,12053
caleorourke,11959
kenkendk,11685
nolanlawson,11554
caitp,11530
springmeyer,11494
twinaphex,11479
jonathanong,11431
cordoval,11350
Ocramius,11339
ueshin,11321
nicolasgarnier,11305
ipa-fmw,11293
sethvargo,11277
keum,11251
qiangxue,11246
teusbenschop,11244
samccone,11185
tianon,11177
jcabi-github-test,11162
jirikuncar,11132
ompiteam,11127
beierguoji,11118
csviz,11113
pjackson28,11091
vrabaud,11089
CNBLACK,11089
JT5D,11055
2215,11019
rolandwalker,11001
owncloud-bot,10989
rwjblue,10944
sunyc,10939
rafaelfranca,10923
gerrit-ovirt-org,10856
crosbymichael,10835
alifanov,10786
dapi,10780
uqs,10740
astrofrog,10705
mitchellh,10693
bl-test-account,10663
dbu,10645
Mailaender,10614
KevinGrandon,10611
mokeeopensource,10602
supertuxkart-sourceforge-migration,10589
Evisceration,10582
samdark,10579
audreyt,10533
garaemon,10508
mikfalluf,10485
boriskob,10478
KA101,10438
robkooper,10415
v8,10409
FooBarWidget,10398
practicalswift,10357
kwrobot,10312
tboerger,10282
asmeurer,10269
stonier,10249
ajoslin,10232
adrelanos,10227
martinstojcevski50,10225
cloudbees-pull-request-builder,10201
bmorganatlas,10182
liginet,10159
rkh,10144
joamag,10126
slide,10108
codecov-test,10091
Zipsnet,10081
d3stats,10078
indutny,10026
tamil1,10021
GoogleCodeExporter,9994
DominikDary,9985
eigoo,9985
kinlane,9985
SabriSchwa3,9962
seth-admittedly,9954
kytrinyx,9938
boegel,9921
domcleal,9891
vitorgalvao,9872
salt-jenkins,9861
konklone,9856
hadley,9821
trel,9783
jihoonl,9739
fenollp,9732
the-cdnjs-curator,9718
nickvergessen,9689
JakeWharton,9626
pyinstaller-tickets-migration,9604
martinstojcevski5,9597
bcwaldon,9574
jmeas,9547
roojs,9544
ErisDS,9524
aaaa02,9495
nuxeojenkins,9493
whit537,9479
rhyolight,9472
Eric89GXL,9458
xenu,9452
ejdquotes-bot,9421
buildhive,9398
vladdu,9381
jamesward,9376
PKRoma,9366
hubdrop-user,9336
codeschool-kiddo,9320
popperspronto,9286
nicolaasmatthijs,9270
minrk,9252
bbatsov,9225
lhaagsma,9160
forki,9145
noirobot,9096
wildfly-ci,9081
timgraham,9074
tsteur,9055
embedthis,9053
cvan,9014
mipapo,9009
SvenDowideit,9008
michalbe,9007
negativetwelve,8977
stanleygu,8959
minggo,8958
bajtos,8934
deadman96385,8913
czue,8903
zunda,8892
scopatz,8889
sundaymtn,8882
junqu01,8803
fipymigrate,8800
addyosmani,8778
azu,8768
dscho,8766
alexanderdean,8761
bparees,8757
ns-codereview,8753
qtproject,8735
cancerhermit,8732
myronmarston,8703
laanwj,8661
sesadit,8643
smarterclayton,8635
grid-bot,8621
geometryzen,8621
jeff1evesque,8620
zanerock,8616
designerwebhosting,8612
pfk120,8611
josevalim,8607
jancborchardt,8599
timosachsenberg,8561
xtraeme,8558
roachhd,8541
r1mikey,8530
malevolm,8529
adamv,8511
gzm0,8507
MorrisJobke,8498
riaf,8479
dannomac,8474
amitaibu,8458
Valicek1,8455
a2n,8450
fanta9,8413
kisg,8411
jcoyne,8411
wjwwood,8405
gorhill,8401
git-town-ci,8398
CraZySacX,8392
jimaek,8379
su-github-machine-user,8365
pippinsplugins,8349
alviteri,8345
pombredanne,8344
calvinmetcalf,8337
yinghuang330,8315
twolfson,8311
kuduautomation,8307
huonw,8304
Cl3Kener,8284
rjackson,8276
eclipse,8258
gdavendanor,8252
imclab,8241
Neamar,8181
ghzmdr,8161
kou,8157
testingcucumber,8148
jotegui,8145
jonboulle,8137
rouault,8133
SimonCropp,8098
jcabi-github-test2,8095
david15f5crgblo,8072
s0undt3ch,8070
igorsteinmacher,8052
bacongobbler,8050
githubteacher,8024
unknownbrackets,8000
evoskuil,7989
gentoo-portage,7982
anerikg,7958
jag3773,7947
reporobot,7943
liewegas,7925
sckott,7920
sebhtml,7901
benjchristensen,7889
danberindei,7872
jrmarino,7849
Ratmir15,7840
mietek,7837
snoyberg,7818
cebe,7818
tacaswell,7811
mikeferguson,7810
ktf,7806
felixonmars-bot,7800
andytruong,7788
z123d,7759
sjrd,7758
sic,7741
sbesson,7691
gavinking,7685
gitpan-test-account,7681
steveklabnik,7674
temasek,7671
M66B,7656
rmcgibbo,7644
mitar,7630
jlipps,7628
monilka,7626
vuntz,7625
redmunds,7565
OmniBot,7549
BanzaiMan,7547
seangirard,7540
Rich-Harris,7520
LukasReschke,7518
lorenzo,7510
pchote,7506
TheRingMaster,7501
mdo,7486
wakaba,7470
bootstraponline,7448
tmcw,7437
DigiZeit,7394
devoncarew,7389
normanmaurer,7384
tfoote,7378
h-nuschke,7352
ironcladlou,7347
h2non,7315
ejucovy,7305
timpohladthomas,7291
bonita-ci,7277
PeterDaveHello,7219
njam,7215
kevgo,7191
jonschlinkert,7190
joshmoore,7184
reduxionist,7175
radare,7173
rgbkrk,7171
LorenzMeier,7169
130s,7164
jadonk,7164
DomT4,7154
davsclaus,7153
derand,7137
mrocklin,7134
clementhk,7116
kartik-v,7106
shimizukawa,7097
Floppy,7097
vinniefalco,7084
tilgovi,7083
marineam,7078
Raynos,7070
takluyver,7036
s1monw,7013
janeroe,7010
JeroenDeDauw,7003
npmcomponent,6985
markjaquith,6980
jeremyfelt,6976
nicobubulle,6976
bwtian,6965
1d3df9903ad,6963
greut,6959
andresriancho,6941
RobertCNelson,6930
WouterJ,6930
flodolo,6928
LudwigOrtmann,6927
domenic,6921
treckstar,6921
planetsympy2,6914
coderaiser,6908
rdi-git,6905
mpdehaan,6900
xabbuh,6876
dantleech,6856
nuclearmistake,6851
madmaxoft,6849
remy,6846
Gama11,6844
SirCmpwn,6841
jreidinger,6828
jarnailboparai,6826
hueniverse,6818
9rnsr,6812
zphj1987,6807
php-pulls,6807
guybedford,6806
wachterjohannes,6798
brownman,6792
plfiorini,6792
natecavanaugh,6784
ycxdr01,6783
sudosurootdev,6779
lucaswerkmeister,6765
ngokevin,6753
syssys123,6733
sdegutis,6720
bantu,6708
tcr,6705
Pomax,6701
opencontrail-ci-admin,6696
sipwise-jenkins,6693
deavmi,6692
vsingleton,6689
sharwell,6688
PAC-review,6685
samreid,6673
dstufft,6672
neelsmith,6659
xeno-by,6644
kripken,6635
jagtalon,6634
titanous,6628
radar,6615
gvwilson,6608
dg,6601
zenorocha,6597
Saisi,6583
michaelklishin,6573
dblock,6573
Unknwon,6543
patriknw,6542
arv,6536
tkelman,6535
dereuromark,6534
nijel,6529
vladikoff,6500
JeffBezanson,6491
pveentjer,6491
clintongormley,6489
dsyer,6480
dreamsxin,6480
elemoine,6476
Maltretieren,6474
kaelig,6471
mistydemeo,6446
Bjwebb,6435
crynobone,6409
bbest,6406
zoo-animals,6399
autoblog,6393
ironsidevsquincy,6393
mabu1314,6384
purcell,6384
alex,6383
soonhokong,6372
nschloe,6363
mattn,6362
jwillemsen,6353
szlryy,6352
liferay-continuous-integration,6343
slandelle,6323
shane-tomlinson,6321
timholy,6315
lamont-granquist,6310
MarkEWaite,6307
pixelzoom,6305
ljharb,6304
QMRV,6301
barisusakli,6300
oxtoacart,6295
cmumford,6292
onyxfish,6288
yurydelendik,6287
mpapis,6281
swegener,6275
lavalamp,6261
maxtaco,6259
JonRowe,6258
sarina,6255
keradus,6255
thestinger,6253
daleharvey,6252
reviewtypo3org,6248
SamyPesse,6246
anirudhSK,6240
rydnr,6234
cbeer,6224
tomcw,6213
raymondfeng,6209
anilgooru,6208
akerl,6206
gabebw,6204
ingydotnet,6204
wedaly,6204
pecko,6203
kevva,6190
guyer,6187
jdalton,6186
raviosc,6186
pedrobaeza,6177
silver955,6175
kgryte,6171
djs55,6148
bigeasy,6141
zachhuff386,6135
slimgerrit,6124
mojavelinux,6121
freeformsystems,6114
DavidGomaz,6099
ussuri,6093
aldeed,6091
agramfort,6087
aik099,6085
mafintosh,6080
androidarmv6-gerrit,6080
ADmad,6080
cowtowncoder,6053
pdehaan,6047
matthiasbeyer,6041
odl-github,6040
pjedrzejewski,6031
zeffii,6030
dinhviethoa,6019
mikermcneil,6016
mboersma,6007
wagnert,6004
lsmith77,6003
leofeyer,6000
tjwebb,5985
orta,5981
samoht,5979
api-junkie,5973
ktoso,5952
weierophinney,5948
philips,5948
eGavr,5947
justinmk,5939
am11,5936
build-talend,5930
reem,5928
IainNZ,5927
ralphbean,5923
bapt,5921
nexedi,5909
rctoris,5903
thomasdavis,5894
moosebuild,5882
redndahead,5878
MoOx,5876
vicb,5869
ian12sm,5868
brson,5865
ghc-mirror,5860
mickhansen,5844
carmstrong,5840
dumganhar,5834
syohex,5832
paf31,5832
tags07,5831
Shougo,5824
dickeylth,5824
mathiasbynens,5822
jonmak08,5818
wasade,5816
Glavin001,5811
ehelms,5799
petebacondarwin,5794
okunishinishi,5788
hrydgard,5786
vieux,5784
jakesyl,5770
mattt,5762
manumanfred,5756
geometer,5753
ZappoMan,5749
alexherbo2,5746
IgorMinar,5733
weaverryan,5725
xairy,5720
yoshuawuyts,5715
pwendell,5712
floatdrop,5705
basepi,5702
nwinter,5699
ctrueden,5687
mikejolley,5683
calmh,5675
cirosantilli,5673
mattab,5667
jenius,5655
dannyroberts,5653
saghul,5652
justinvdm,5650
LaurentGoderre,5644
fusesource-ci,5639
liferay-dev-ci,5627
jspahrsummers,5624
matiu,5620
smashwilson,5614
test-beam,5611
opntr-auto,5601
mdboom,5595
rande,5588
jmztaylor,5586
othiym23,5578
bobdenotter,5560
peti,5558
jboss-developer-ci,5546
kiorky,5544
AgtLucas,5543
pld,5542
zwliew,5541
DamonOehlman,5539
jeremyBass,5520
adamralph,5517
SuriyaaKudoIsc,5500
mwxiao,5493
TheDash,5492
fgiogoglee,5489
isrustfastyet,5488
gbinal,5478
makasim,5471
OlegHahm,5469
vietnamworker,5464
tarruda,5461
otrsbot,5459
dovy,5458
k88hudson,5458
alicoding,5458
Ichimonji10,5457
uglide,5454
stefwalter,5453
mmoayyed,5449
tritao,5444
kyleabeauchamp,5435
ebidel,5434
josemarluedke,5433
leplatrem,5430
aokp-gerrit,5424
HugoGiraudel,5423
YoshikuniJujo,5420
Trott,5418
keflavich,5416
josephyzhou,5414
c9s,5412
kentfredric,5405
rwaldron,5404
602p,5393
azakus,5393
seuros,5387
sbezborotest2,5381
pjf,5379
pypingou,5379
hintjens,5375
VSEphpbb,5373
mjuric,5370
ElDeveloper,5370
pavlo-dudka,5368
raprasad,5367
kaendfinger,5366
fengmk2,5366
matthew-andrews,5365
aways,5354
lefou,5350
rhalff,5344
nmccready,5341
btford,5338
nikolay,5336
galaxy001,5334
yhahn,5323
tiborsimko,5322
Benglin,5320
segiddins,5316
cpcloud,5316
Klozz,5303
lloydwatkin,5297
smichr,5290
danielbachhuber,5289
rwetzlmayr2,5286
FichteFoll,5281
waffle-iron,5278
sigmavirus24,5277
karlitschek,5265
benogle,5263
lslezak,5254
weblate,5246
startaq,5245
mcollina,5240
john-peterson,5238
Kijewski,5235
Mazda--,5231
tagliala,5226
jujubot,5225
msobkow,5223
icingaadmin,5219
JDutil,5215
peterflynn,5211
jjallaire,5210
TheMrcool212,5205
eotect,5204
wouterbeek,5202
bcipolli,5201
demobox,5200
vito,5192
yakky,5188
jdm,5173
tleyden,5168
thedrow,5166
mrdoob,5163
jchodera,5159
borshop,5157
embray,5147
nghuuphuoc,5146
daniele-athome,5140
megawac,5137
Bruce-Connor,5137
hansode,5134
johnsimons,5131
aembler,5131
brendandburns,5121
jfota,5120
battlemidget,5118
allista,5118
richardkchapman,5104
cmr,5103
feross,5097
turt2live,5089
lj50036,5083
LFDM,5080
piwik-auto-commit-bot,5073
cbeams,5072
mhaidarh,5072
Kingrehan,5072
jacebrowning,5070
nzakas,5068
andreasohlund,5067
wm4,5065
amapparat,5059
lvca,5055
Ms2ger,5047
skirpichev,5041
tanel,5038
jroper,5036
jlukic,5030
Ponce,5029
StefanKarpinski,5024
mmoreram,5021
julianlam,5012
echel0n,5011
rogan2929,5010
bsongis,5006
pplab,5000
huiwenhan,4999
eiel,4995
jstrachan,4989
dingpinglv,4987
dcramer,4980
PEMapModder,4975
mayli,4973
096-NET-UA,4972
pdfjsbot,4972
Simn,4971
test7070,4966
Anahkiasen,4965
solahartjakarta,4959
jzaefferer,4957
andrewor14,4956
raix,4954
untitaker,4950
substack,4950
JasonGross,4941
kylef,4941
auriamg,4938
rkpeardon,4938
singingwolfboy,4938
davidperrenoud,4937
push-emacsmirror,4932
jgm,4930
RyanThompson,4929
sieste,4929
cahrens,4926
staticfloat,4925
zzjsn1,4924
kevingranade,4921
hoffmabc,4919
sweetpi,4918
gjn,4914
barisser,4914
swankjesse,4912
certik,4903
alext,4899
wcandillon,4898
maxogden,4897
aseprite-bot,4896
inliniac,4892
abreslav,4890
tanelpuhu,4888
cf-ci-push-pull,4883
sharoonthomas,4882
honeybee29,4881
dmarkov,4881
jefrish013,4880
afeld,4879
gregcaporaso,4878
IonicaBizau,4878
dwightguth,4873
lunaryorn,4873
tmxiaona,4872
davidfowl,4869
fprochazka,4869
Raydiation,4868
JuanitoFatas,4863
moollaza,4859
peterbe,4859
rxin,4848
drybjed,4842
mtdowling,4838
ngehlenborg,4837
saivann,4835
rbran100,4834
timrdf,4830
tomspilman,4827
ardumont,4825
cpennington,4818
PaulKinlan,4816
willdurand,4814
ewinslow,4812
hodgestar,4805
x05x,4804
shunwang,4799
bartvde,4791
CatalinFrancu,4791
mlandauer,4791
TheSerapher,4790
jsuereth,4789
himedlooff,4781
bryevdv,4776
GuneetAtwal,4773
useease,4772
xiangli-cmu,4771
sakulstra,4770
jmarshallnz,4769
sksamuel,4768
STRd6,4768
neumino,4768
johnpbloch,4765
rec,4761
tomchristie,4759
nouiz,4752
ferventcoder,4748
shoghicp,4746
Rob-O,4745
geemus,4742
gubatron,4742
bennettg,4732
matysek,4732
jpmckinney,4730
wkeese,4722
rcpeters,4716
abun880007,4716
aronasorman,4714
seiyria,4712
asika32764,4711
3rd-Eden,4711
zoombody,4707
tdiesler,4703
jbenet,4702
leoherbie,4701
ixgitserver,4698
blueyed,4690
sebv,4690
unclejack,4689
Carreau,4687
BoEql1qOuT5,4686
aashish24,4683
gannetson,4682
scottgonzalez,4682
balupton,4681
feixiangziyou2,4680
lmr,4679
momoplan,4678
knownasilya,4674
jsdelivrbot,4671
paultesteur,4666
