actor,pessoa
,670988
KenanSulayman,258285
mirror-updates,211607
wp-plugins-user,192719
ideatest1,170063
navit-screenshot-bot,168712
githumtime,163830
s4l1h,162004
alowell,132105
asfgit,124750
zx2c4,121001
openstack-gerrit,116877
nctmonitor,110834
avsm,109252
schwern,104835
RadarBot,104705
wmfgerrit,98594
chapuni,97098
greatfire,95387
houndci,90741
sethwoodworth,86068
coveralls,85175
dsabanin,81852
lukeis,80724
ashking,77690
weathernick,73975
angelventura,67017
k-okada,62162
cato-,61534
sebastianrahtz,61441
gaborcsardi,59697
PLMbugz,58714
mocleiri,54842
octokit-net-test,54256
KhanBugz,53474
qdm,53416
choksi81,52769
nbolton,52768
lionzeye,52433
qualitri,51717
snoopycrimecop,51398
diversify-exp-user,51291
cmsbuild,49973
hwine,49686
gnomesysadmins,48653
chimney-sweeper,47650
derekbruening,47133
bors,46151
jessicah,45239
cottsay,42622
kaizhu256,39215
xndcn,38458
damithc,37578
riskindex,37098
circle-api-test,36035
wmst,35841
brianchandotcom,34729
cm-gerrit,34019
autoblogsc5,33230
wd15,32100
jamiepg1,31491
bflorat,31258
alexcrichton,30791
lalyos,29957
rosbuild,29278
as00789,29139
doshea,28572
zwwxy001,28149
abeta,27935
GrahamCampbell,27413
timmmmyboy,27283
AmplabJenkins,26946
mmazur,26388
dsm-git,25224
autolander,24791
InternetDevels,24551
lingohubtest,24491
mister-y,24002
thebestmaster,23990
mozwebqabot,23537
dirk-thomas,23431
giampaolo,22068
eaott,21674
topcloud,21643
sindresorhus,21197
BrewTestBot,21154
opencm,20935
Nephyrin,20889
pekkaklarck,20800
nhcrpmsync,20561
omar9483,19641
No-CQRT,19405
tegan9382,19279
jackiecr1,19052
try-server-hook,19006
deirdresj,18869
delphine61,18699
svn2github,18666
sbezborotest,18664
patrick-hudson,18615
lioncash,18505
govuk-ci,18457
joao-gsneto,18382
stof,18381
nthiebaud,18359
sanfordmd6,18349
axelstudios,18312
chetqh7,18312
gustavva,18209
indico-bot,18130
hubot,18028
dstockwell,18026
stefanpenner,17955
ddelbondio,17773
wmidbot,17632
AsteroidTrackerUpdateSystem,17473
miabot,17453
exo-swf,17423
hash3g,17056
