actor,pessoa
bippybop,41582
,28444
eclipse,26150
mikesmullin,24432
arunoda,23753
mediawiki,16493
brianchandotcom,15068
artemp,14813
chapuni,13442
bitprophet,11975
freebsd,9492
kwrobot,9417
tpruvot,9043
tarsius,8961
GICodeWarrior,8226
diaspora-redmine-github-migration,6907
planetsympy2,6700
SergeyZh,6566
ereslibre,6427
vguerra,6404
jsonn,6197
svmheroku,6190
gitster,6056
cm-gerrit,5903
mattn,5414
crynobone,5303
homer6,5213
SignFinder,5058
visionmedia,4999
fabpot,4988
fonsinchen,4939
espenak,4762
WarHead,4704
KhanBugz,4655
hhuijser,4530
Lawouach,4499
sraue,4409
isaacueca,4390
garbas,4368
brson,4359
fiordland,4110
natecavanaugh,4029
erp5,3987
hregis,3986
rabbitmq-github,3982
sferik,3943
stronk7,3834
denisarnaud,3827
modbot,3821
isaacs,3798
robn,3752
nevali,3741
stof,3638
vivianiscool,3584
michaelhashimoto,3526
tberthel,3468
HachasyDados,3344
adamv,3278
sakuro,3215
CloudDotCom,3210
jterrace,3206
Sanne,3192
arunagw,3185
smichr,3180
geebus,3078
bluelovers,3074
ghc-mirror,3061
rotty3000,3058
Sharpie,3058
rsa,3052
CruzBishop,3043
backplane-import,3028
kentfredric,3025
stuartwdouglas,3017
deryldoucette,3011
danc86,3010
bnoordhuis,2949
fallenangelX,2934
Turbo87,2933
marcia,2886
novalis,2873
frugalware,2838
patthoyts,2827
dragonflybot,2813
spurious,2793
samuelkong,2779
tuncer,2760
sourcefabric,2755
graemeg,2743
mpapis,2731
mjuric,2719
Ponce,2718
trustmaster,2716
rsofaer,2704
PixieCode,2697
c00w,2695
shane-tomlinson,2691
eduardolundgren,2683
jacknagel,2678
martinploeger,2669
willdurand,2662
juliocamarero,2662
shuyangzhou,2662
paulp,2653
yiminghe,2653
danberindei,2646
mhan810,2629
ethanrublee,2616
skodak,2599
Afforess,2597
asmeurer,2596
MrZYX,2590
akofink,2582
stereotype441,2582
michaelklishin,2565
ipeychev,2565
dsp,2539
jpulgarin,2525
caorongjin,2521
xenoterracide,2509
jcfr,2494
musicbrainz,2477
wayneeseguin,2463
mcdonc,2448
mysociety,2441
zerocrates,2437
falconindy,2437
josh,2421
philb,2412
kennethreitz,2398
ivanreverb,2396
boostpro-gitmirror,2386
lsmith77,2386
f-r-i-t-z,2383
nfjinjing,2381
cvan,2379
lotia,2375
trans,2371
makkus,2362
esc,2357
9rnsr,2354
szich,2353
setanta,2330
IgorMinar,2326
guilleiguaran,2315
mbabker,2306
indexzero,2301
mbarbon,2293
aeosynth,2283
nicksuan,2233
richardpl,2205
parndt,2183
josevalim,2182
Timer,2176
jgm,2174
bp323,2158
jrhoun,2156
drakeos,2152
jmcc0nn3ll,2149
mahagr,2147
geometer,2141
insidenothing,2139
jenshnielsen,2139
