actor,pessoa
ryanatwork,2139
wesm,2137
gkoberger,2134
kthakore,2118
lacombar,2113
springmeyer,2112
v8,2108
timhunt,2095
marcellustavares,2090
aclark4life,2080
markstory,2070
leto,2066
SleepTillSeven,2061
dustinwhittle,2055
ndbroadbent,2055
XTZGZoReX,2054
postmodern,2050
plt,2037
blambeau,2035
ctweney,2033
kohsuke,2028
tillberg,2026
bhearsum,2026
spicyj,2019
mattdenner,2016
zachariasmaladroit,2007
amalloy,1998
opdenkamp,1988
miguelmota,1987
hroptatyr,1985
ornicar,1983
benzelano,1978
jonashaag-bot,1963
FauxFaux,1957
Zoramite,1951
GaelVaroquaux,1947
minrk,1945
jjangsam,1941
andhapp,1934
sleepsonthefloor,1930
favalex,1927
spiceapps,1923
durran,1922
ness01,1910
darranl,1908
LewisPringle,1908
samueltardieu,1905
mikeprimm,1901
hammondjn,1898
lionah,1887
amosbot,1886
gaiaops,1886
edavis10,1885
build-bst,1885
LeonB,1885
juanferrub,1880
koush,1878
brong,1878
bestpractical,1876
embedthis,1865
ieb,1864
marijnh,1859
samhemelryk,1853
drahosp,1850
sunny256,1848
groldan,1844
erikvold,1843
openstack-gerrit,1842
freenet,1838
marutosi,1836
schmittjoh,1828
goneri,1822
russel,1818
warner,1818
galderz,1817
norton,1815
rpavlik,1811
dmorley,1810
elektroschmock,1809
scottmarlow,1807
tdiesler,1803
thekid,1801
foswiki,1801
FernFerret,1795
Sleaker,1792
doublec,1790
alekz49,1788
andymckay,1786
ns-codereview,1785
gorakhargosh,1784
taylorotwell,1782
mirrors,1780
scribu,1778
toddparker,1778
kykamath,1776
tgoyne,1773
timrdf,1770
ayende,1761
spastorino,1758
schmir,1757
nmenon,1755
michalpolko,1746
sdumitriu,1744
yunosh,1743
gckjdev,1739
sambler,1738
tmcw,1737
burstlam,1733
mattheyan,1733
toivonen,1733
mikeabdullah,1729
bebef1987,1729
primalmotion,1729
agentzh,1726
mrdoob,1722
MGwynne,1719
shentonfreude,1709
jljusten,1707
JNRowe,1707
rembo10,1706
dhess,1706
jessealama,1705
dmeehan,1704
gkossakowski,1697
straszheim,1697
kimchy,1694
jashkenas,1693
r2DoesInc,1691
dxli,1690
CelticMinstrel,1689
brianchiu,1689
svenfuchs,1688
igorw,1686
hww3,1681
japj,1680
smt,1676
billdawson,1674
bstansberry,1673
davidmcclure,1671
kou,1668
rdp,1667
steveklabnik,1667
3rd-Eden,1666
bvanassche,1661
everzet,1658
rstacruz,1658
adriaanm,1652
acoppes,1651
philsturgeon,1649
markfisher,1649
Brianetta,1645
Mkaysi,1645
sbryzak,1641
stefanotravelli,1638
demialucard,1638
migue,1636
0xd34df00d,1632
michaelficarra,1631
eddieajau,1631
lloyd,1624
djs55,1623
mattiaswolff,1621
jezdez,1618
pershoot,1618
t3dev,1618
bosschaert,1617
TimWolla,1616
igorspasic,1613
paraipanakos,1611
yarikoptic,1610
ry,1607
qgc,1605
richardkchapman,1604
thecarlhall,1603
sss,1599
GunioRobot,1597
splittingred,1590
rkh,1589
resetexistence,1585
Memphiz,1583
JakeWharton,1581
snoyberg,1580
erussell,1578
irskep,1577
holzman,1574
godfat,1571
ALRubinger,1569
openstreetmap-mirror,1568
Shougo,1565
mbostock,1558
al-maisan,1557
mmalecki,1553
gfunkmonk,1553
koichik,1551
friflaj,1549
ask,1546
Undergarun,1542
jhinkey,1542
alexbevi,1541
rwldrn,1536
mdelapenya,1536
brendo,1533
n1hility,1530
klaaspieter,1529
dmlloyd,1526
nicolaasmatthijs,1526
lawrence-lee,1525
catlee,1523
LorDClockaN,1522
arian,1520
Odyssey,1520
mbastian,1519
xtraeme,1517
benoitc,1514
takluyver,1513
ipa-fmw,1513
jdlrobson,1512
gberenfield,1511
fesplugas,1509
mcculls,1508
chrisforbes,1506
weaverryan,1505
holatuwol,1500
danchoi,1498
grosser,1496
ArchangeGabriel,1495
trevor,1493
glraghukishore,1491
pieh,1478
FernetMenta,1477
opensim,1475
jamezp,1475
realityking,1473
kristianmandrup,1468
vim-scripts,1468
git-libav-org,1467
fapestniegd,1464
jonathanroy,1462
sharyanto,1461
ogrisel,1457
ixti,1455
SushiTee,1454
demobox,1453
doucette,1447
Bootz,1447
benjaminvialle,1446
dyoo,1442
kumar303,1441
Selenium2,1441
vene,1440
jaikiran,1440
nickstenning,1440
ubun,1440
carljm,1439
tswicegood,1437
bergie,1433
Montellese,1433
magcius,1430
hjmjohnson,1427
Gozala,1424
csware,1424
djmitche,1422
squallstar,1422
einarfs,1415
rajeshtaneja,1413
anatol,1412
sickboy,1408
jschreuder,1406
symeos,1405
tav,1401
kabir,1400
bassosimone,1400
l-korous,1396
ejucovy,1393
shazron,1392
hbons,1392
Venugh,1391
huerlisi,1389
flokli,1385
jmathai,1384
mudrd8mz,1378
xaav,1378
tenderlove,1378
indutny,1378
ldo,1376
EvanDotPro,1375
krymen,1375
visnup,1374
aslakhellesoy,1371
alf239,1371
calvinlow-airylabs,1370
MayhemYDG,1366
minggo,1366
imathis,1365
beberlei,1363
rlr,1361
fjakobs,1361
Sbte,1360
rwijaya,1360
zachwill,1359
jacobrask,1354
koenkooi,1352
vojtajina,1350
amitay,1349
Machine-Sanctum,1346
jimfcarroll,1344
richoH,1343
lmr,1343
TooTallNate,1343
marshall,1343
jeremiahishere,1343
Constellation,1339
shyouhei,1338
jbalogh,1335
sgothel,1333
rgrove,1332
laforge49,1332
meganw,1331
jan0sch,1327
TheBlueMatt,1326
maniac103,1325
jixiuf,1323
larsbutler,1321
gjhiggins,1320
ufoai,1320
cordoval,1319
joshsziegler,1318
jalliot,1317
Marak,1317
pydanny,1316
geemus,1314
balupton,1313
nabinhait,1311
plathrop,1307
lemenkov,1307
HeSYINUvSBZfxqA,1307
mhevery,1306
markwright,1306
lsmith,1306
xoomdev,1304
yhahn,1302
nigelgbanks,1302
tsoliman,1302
Raphfrk,1302
jeffkreeftmeijer,1301
joelagnel,1300
solnic,1299
juppe,1296
ochafik,1296
msullivan,1295
trombonehero,1294
Lekensteyn,1293
rootslab,1292
anpieber,1290
edwardgeorge,1290
davglass,1289
awakecoding,1288
cspray,1288
WalterBright,1285
pombredanne,1284
jmdavis,1283
jzaefferer,1282
KelSolaar,1282
nadlabak,1281
sez11a,1280
mattrude,1279
kigeia,1279
matthew-brett,1279
vatrai,1278
sptramer,1277
nesquena,1267
rnirmal,1266
dmathieu,1263
willwhite,1260
ericf,1259
clrkwllms,1258
nCdy,1258
JoshJGT,1257
tokuhirom,1257
planetsympy,1257
evgeny-goldin,1257
franciscofranco,1255
NelleV,1254
rwest,1254
erlang,1252
edalquist,1251
kbarber,1251
fat,1251
chrisglass,1250
alee8888,1248
tschaub,1246
bmeurer,1245
cadecairos,1245
NoahY,1244
tario,1241
raskhadafi,1240
pct,1240
8nevil8,1239
bbenezech,1239
naylor-b,1239
softprops,1236
Fredi,1236
grumpydev,1235
uhop,1235
avikivity,1234
arjan,1233
mandyzia,1232
emuckenhuber,1231
postgres-mirror,1231
nikai3d,1229
hoelzro,1228
olegz,1226
bwoodhead,1226
aheckmann,1225
hading,1225
MerlijnWajer,1222
Godin,1221
mrjbq7,1221
panter-dsd,1221
maniksurtani,1221
ojii,1219
carlosmn,1218
techmik,1218
kazk,1217
Gravatronics,1215
lmorchard,1213
aq2-sanger,1212
michaelni,1212
elinw,1212
tanoku,1206
apache,1206
mikakoivisto,1205
lxnay,1203
zli,1203
hakanensari,1203
moritz,1203
gabebw,1199
2-718,1199
sartak,1199
jwiegley,1198
Havenard,1194
brunobasto,1194
Quarx2k,1193
mosst,1193
mixedpuppy,1193
chdemko,1192
avdg,1191
pwaller,1189
SammysHP,1187
matthiask,1187
clementfarabet,1187
stanislaw,1187
dongsheng,1186
johnbartholomew,1185
eMxyzptlk,1185
jamesming,1184
benhoskings,1184
Jotschi,1184
impleri,1181
dcramer,1180
VFR-maniac,1180
ropalka,1180
ansell,1179
strk,1178
GerryG,1177
Top-Cat,1176
Kapoeira,1175
apathyboy,1173
kevmoo,1173
mpereira,1173
mcpierce,1173
DAddYE,1173
FranklinChen,1173
alesj,1172
cmeiklejohn,1171
spotweb,1169
fredvdd,1169
jordansissel,1169
Gelma,1168
avsm,1167
arturadib,1165
pparsniak,1163
danmarsden,1162
Whiteknight,1162
alexeypetrushin,1160
akohlmey,1159
dhorrigan,1159
BigNoid,1158
jakewendt,1157
KoryuObihiro,1156
pazz,1156
jruberg,1154
xaizek,1154
peff,1153
jneight,1152
nyaa,1151
jwallen,1151
mkhl,1151
swannodette,1150
maul-esel,1148
aljeux,1147
mybuddymichael,1145
jrubyci,1144
paulirish,1144
lyda,1143
mgorny,1142
joelcw,1142
jesusabdullah,1139
tombell,1137
ndawe,1137
SimonSapin,1137
superatmel,1136
RevolutionSmythe,1136
IamPersistent,1135
dxw,1134
rwstauner,1133
nateps,1133
Seldaek,1133
vingtetun,1132
hugopl,1130
wizjany,1129
nebgor,1127
glennr,1124
dekellum,1123
fabiobatalha,1122
samskivert,1120
dagolden,1120
jpotterm,1120
croby,1119
athrxx,1118
lifesinger,1116
dalibor,1115
ryanfb,1113
sonney2k,1112
yihui,1111
michiel-unhosted,1111
flixr,1111
bonzini,1111
krosenvold,1110
macdonst,1110
dscharrer,1107
jasondavies,1106
jhelwig,1106
koraktor,1105
liquid0624,1104
toolness,1103
kkaefer,1103
donthorp,1102
seanmonstar,1101
wdrei,1101
victorporof,1100
sunaku,1100
raistlinthewiz,1100
abma,1099
felixge,1097
maxwell,1096
sergiogonzalez,1096
netzpirat,1096
adamg-xda,1095
obrie,1094
mislav,1094
realityforge,1094
arantius,1093
OpenNebula,1092
Rallaz,1091
johnbender,1090
gregmoser,1089
jsuereth,1089
goatslacker,1087
palewire,1086
ferrous26,1086
haiku-mirror,1085
damianb,1085
weierophinney,1084
dkubb,1083
renaudallard,1082
barak,1082
angri,1081
paul99,1081
ge0ffrey,1078
johnfking2,1074
bantu,1073
hugoduncan,1072
slavapestov,1070
asimurzin,1070
evergreen-library-system,1070
ProgVal,1070
jjallaire,1069
gpreunin,1068
benlangfeld,1068
xen-git,1068
editor,1066
ericpaulbishop,1065
alloy,1064
timfel,1060
substack,1060
dmaclay,1057
rossabaker,1057
naderman,1057
radar,1055
sander1,1055
juanpicado,1054
ingydotnet,1053
kcbabo,1052
knowuh,1052
benohara,1051
gvvaughan,1051
Osmose,1051
alexrp,1050
eightysteele,1050
JasonGross,1049
mitsuhiko,1048
cehars,1047
guns,1046
joewalker,1045
moba-bot,1044
ginatrapani,1044
nerdsrescueme,1043
urlstalker,1040
nickvergessen,1040
marinaglancy,1040
drewis,1039
nov,1039
francois2metz,1038
Arvi3d,1038
nicklewis,1037
hornairs,1037
Kronos11,1035
klmitch,1035
heiko-braun,1034
sebastianbergmann,1034
jnareb,1033
rande,1033
untitaker,1031
czue,1031
rehno-lindeque,1030
randyryan,1030
rgrp,1030
maccman,1030
rmehta,1029
matthewkong,1029
mpictor,1029
jbuck,1028
behlendorf,1028
renatofilho,1027
aerialls,1027
pjotrp,1027
kelredd,1025
petershin,1025
mattlevine,1024
notmasteryet,1024
jarib,1024
wakaleo,1022
8cH9azbsFifZ,1021
zathomas,1020
jsloane,1020
ctide,1020
majek,1018
nolden,1017
yuibuild,1017
stepheneb,1017
ohtake,1016
DavePearce,1016
sjonnet19,1015
jimmac,1014
xuwei-k,1014
simonsd,1014
davedash,1013
kisg,1013
randallmorey,1013
kylef,1013
achaparro,1011
fafhrd91,1011
gregwebs,1007
maschmid,1007
ealonso,1007
habnabit,1007
ianmacl,1007
cgjones,1006
michaelbarton,1005
telmich,1005
cmccoy,1003
ckolivas,1003
fperez,1000
hanwen,1000
rsimon,999
juanpabloaj,999
florianp37,999
indirect,998
Littleboy,997
dumptruckman,997
antkozak,996
Bananeweizen,996
duckinator,996
tpope,995
jaseemabid,995
BlainHamon,995
larsmans,993
Codier,993
woxxy,992
albertz,991
jsocol,991
protz,990
stefanbeller,989
tareqak,987
psholtz,987
jwang,987
tohir,987
kevinpollet,987
mitchellh,986
bemk,984
pkumar,984
haf,981
klickverbot,981
kgrodzicki,981
hub-cap,981
jonmak08,980
lamby,979
lgritz,979
vladdu,978
russellb,978
danielgrippi,977
lincolnthree,977
acerisara,976
ben-sangster,972
herlo,972
mattpap,972
csadilek,971
codahale,971
schwa,971
Saechang,971
Pita,971
boonebgorges,970
petteyg,969
JonFerraiolo,969
Ziusudra,967
kylemcdonald,966
krimdomu,966
hannorein,965
markdotto,965
brunoadacosta,965
hvorragend,964
jfredett,963
denschub,963
existz,963
mrdon,962
KayEss,961
suvdim,961
misfo,960
drowningchild,960
yanhick,960
dzsani,960
alteredq,960
vietj,959
faux123,959
OKullmann,959
rakaur,959
jeromeetienne,959
kraih,959
tm1000,959
MoSync,959
fnichol,959
penberg,958
mvriel,958
daveycrockett,957
aloubyansky,955
nulltoken,955
ikeji,954
anandology,954
zgr024,953
benmatselby,953
karmi,953
mythmon,953
tofumatt,952
Zeex,952
c10ud,951
fivethreeo,951
erikrose,950
lucapost,949
ugisozols,949
bruth,949
Trott,949
xrg,947
cadorn,947
lluis,947
bassdread,946
jamespetts,946
rnewman,946
ereOn,944
svenstaro,942
mathiasbynens,941
dellsystem,941
famanson,940
noniusgroup,939
ChristianGruen,938
autarch,938
wrobel,938
trapd00r,938
fernandogarcez,938
sheldond,937
mgaunard,937
jnthn,936
pilluli,935
ondrik,935
jverkoey,934
danielbachhuber,934
dcoeurjo,934
sunner,933
jt1134,933
koichiro,931
Coh3n,931
bobmcwhirter,930
akzhan,930
dankamongmen,930
jdee,928
rhelmer,928
blakewatters,927
davidfowl,927
iromli,927
mrflip,926
rongjihuang,925
jrao,925
evandrix,925
sorin-ionescu,925
thaljef,924
sfrothwell,924
onyxfish,924
Schmoozerd,923
chriseppstein,923
zberentey,922
tlyu,922
Belphemur,922
Contra,921
jeffreykegler,920
jonmarimba,920
LouisLandry,919
c9s,919
