actor,pessoa
dvcsconnectortest,7776
tlevine,7755
scala-jenkins,7751
czue,7712
thaljef,7709
liferay-dev-ci,7695
kopf,7680
cpcloud,7672
pombredanne,7672
cogent-buildbox,7650
balupton,7636
bcipolli,7633
john-peterson,7618
xreader,7605
mikemcquaid,7601
gavinking,7598
astrofrog,7592
twolfson,7459
dumganhar,7459
HackerMil,7436
ipfire,7421
ForbesLindesay,7414
OnesAndTwos,7406
tsteiner,7401
JakeWharton,7388
pippinsplugins,7320
markstory,7320
unity-jp,7314
bootstraponline,7302
avsm,7291
PKRoma,7285
willdurand,7279
doljak,7271
domcleal,7260
thestinger,7227
dippa,7157
LaurentGoderre,7142
useease,7131
jancborchardt,7096
9rnsr,7088
bnoordhuis,7077
ozh,7069
joshmoore,7014
Raydiation,7010
androidarmv6-gerrit,6959
jonschlinkert,6954
liewegas,6954
Shougo,6937
moovops,6912
larceny-trac-import,6902
prock-fife,6900
danberindei,6869
ganltc,6834
ostcar,6819
mojavelinux,6817
normanmaurer,6811
bbatsov,6809
maijunjin,6789
silverstripe-issues,6784
kripken,6773
domenic,6767
bigeasy,6756
teusbenschop,6754
M66B,6749
isaacs,6743
Nami-Doc,6706
Mailaender,6702
qiangxue,6672
passy,6645
Floppy,6642
branflake2267,6619
SuperV1234,6618
cloudbees-pull-request-builder,6607
scribu,6606
paulmillr,6605
konklone,6584
github-cn,6578
brson,6572
ueshin,6565
senny,6561
koideploy-commit-bot,6533
timrdf,6498
JeffBezanson,6462
lingohubtest,6461
myronmarston,6453
zenorocha,6447
asjdnsprobe,6406
jjsantos,6396
raven02,6375
exo-swf,6356
mattt,6349
processing-bugs,6348
nbp,6336
jcoyne,6333
sebthebert,6327
pnkfelix,6323
demobox,6315
njx,6306
kytrinyx,6300
mattn,6295
purcell,6294
zeffii,6284
zunda,6274
cphelps76,6256
escapewindow,6254
DigiZeit,6252
ejucovy,6248
okunishinishi,6234
elemoine,6222
makoto-unity,6218
markjaquith,6204
TheSerapher,6202
michaelklishin,6181
kou,6163
amitaibu,6161
fxsapa,6158
Christi,6152
jfirebaugh,6141
KohaAloha,6139
adriancole,6133
financeCoding,6129
cmsbuild,6127
llj098,6092
v8,6083
mattbasta,6047
olivierthereaux,6026
temasek,6024
jtesser,6019
leofeyer,6019
nexedi,6000
chillu,5993
drnic,5980
gitlisted,5974
STRd6,5954
dannyroberts,5944
sferik,5943
kevingranade,5929
sic,5909
mdboom,5906
greenheartgamessystem,5891
ns-codereview,5875
cooljeanius,5873
jfarcand,5863
StefanKarpinski,5847
phihag,5840
WouterJ,5821
mistydemeo,5809
addyosmani,5792
tychoish,5783
rbran100,5776
demianturner,5768
mokeeopensource,5763
davidfowl,5728
shama,5714
sbesson,5706
twinaphex,5700
calvinmetcalf,5692
hlee,5684
JohnMcLear,5684
djs55,5669
cowtowncoder,5660
daviddavis,5636
cordoval,5629
evanphx,5614
plugins-mailing-list,5608
juliangruber,5601
joey-coleman,5595
samoht,5567
AmplabJenkins,5555
willkg,5550
randx,5546
NamelessCoder,5540
petebacondarwin,5521
dagolden,5512
ryanackley,5509
cf-bosh,5506
SimonCropp,5497
test7070,5484
andymckay,5484
ViralBShah,5465
bakura10,5458
GrahamCampbell,5456
atiti,5451
spurious,5448
ralphbean,5430
xeno-by,5408
dengemann,5407
Seldaek,5406
scopatz,5402
rgrp,5388
Pomax,5377
shiffman,5374
task650,5370
roojs,5367
natecavanaugh,5358
mikejolley,5355
gartung,5341
h-nuschke,5340
nomilous,5331
pkozlowski-opensource,5307
thlorenz,5300
stefanosusini,5296
yurydelendik,5295
jreidinger,5294
rvagg,5286
alex,5280
xtraeme,5273
karlitschek,5265
jtratner,5247
zacc,5239
emacarron,5239
mlocher,5233
jvazquez-r7,5227
aclark4life,5214
indutny,5214
adriaanm,5202
amdprophet,5185
rjackson,5168
retronym,5166
eduardolundgren,5162
adrienthebo,5150
octokit-net-test,5147
snoyberg,5146
ivanfemia,5145
samreid,5132
corot,5130
vojtajina,5121
creationix,5075
mozeq,5071
odrianoaliveira2,5068
satazor,5068
NanoXD,5055
book66,5046
joamag,5044
sharyanto,5040
mythz,5036
dastin1015,5032
ironpythonbot,5021
testingcucumber,5017
php-pulls,5009
jasonsanjose,5006
matthewrmshin,5004
LukePulverenti,4991
jfelchner,4984
mourner,4982
lunaryorn,4979
su-github-machine-user,4973
rlr,4952
RobertCNelson,4943
yiminghe,4930
reset,4928
superjoe30,4927
hueniverse,4927
marutosi,4926
mikermcneil,4915
rande,4908
nallar,4902
WalterBright,4879
kurtpayne,4878
phalcon,4872
techhat,4863
tokuhirom,4852
embedthis,4832
sunyc,4831
Typo3Svn2Git,4826
kinlane,4812
tanghus,4812
marijnh,4810
JonRowe,4808
davetcoleman,4793
philips,4787
Raynos,4777
redmunds,4775
Anahkiasen,4773
richardkchapman,4772
sbrunner,4758
Di0gen,4755
StephenOTT,4748
slide,4734
imclab,4726
xilinxrelman,4721
mrvisser,4712
coviolations,4709
DominikDary,4697
lloydwatkin,4693
afc163,4690
julienw,4684
slandelle,4681
substack,4669
marcoscaceres,4653
y-p,4649
jmalloc,4648
jamiesnape,4642
peterflynn,4619
dannomac,4601
example42,4600
agramfort,4596
btford,4593
mbostock,4588
samdark,4587
pjcozzi,4580
gaborcsardi,4566
tierra,4552
ggrdzrpbmey,4547
keflavich,4535
pbeeler,4530
IgorMinar,4527
charris,4524
dominictarr,4514
Carreau,4514
Ayysir,4512
oajirabot,4510
isrustfastyet,4509
thaibault,4507
rkh,4505
cristianomatos,4501
wirelessguy,4493
patriknw,4490
drak,4488
dcramer,4487
lightsofapollo,4486
twinh,4484
mcollina,4482
irrationalfab,4480
alrieckert,4476
jlipps,4475
lmr,4470
piki,4469
shane-tomlinson,4468
ehelms,4468
russellw,4466
hsbt,4446
dnarvaez,4444
simena86,4442
Daxter,4438
enjalot,4434
tarekziade,4433
t3dev,4431
UlfNorell,4431
gnudeep,4430
ekmett,4425
philschatz,4423
nazeeruddinikram,4422
lepture,4413
FroMage,4405
burstlam,4405
k-okada,4404
amueller,4398
SirCmpwn,4398
basepi,4397
forki,4387
andrew,4387
bp323,4383
blebon,4380
michaelhood,4379
jdalton,4378
jrobeson,4377
arv,4375
jasperblues,4372
Ntemis,4355
rdi-git,4353
alicoding,4342
ZDroid,4340
ocamlot,4338
maandree,4331
nijel,4329
orta,4325
yanniks,4325
catamorphism,4324
bors-servo,4324
md-5,4312
pdfjsbot,4308
liginet,4301
agaricusb,4297
koush,4295
brixen,4292
mbabker,4287
staabm,4283
dotta,4277
davehunt,4268
sigmavirus24,4265
cableman,4265
htchoi1995,4254
znmeb,4252
jeremyf,4248
avoidwork,4248
graemeg,4241
micha,4240
mitar,4224
kz0817,4219
maxogden,4214
AndrejMitrovic,4213
postmodern,4212
wlandau,4212
jamesward,4206
geemus,4201
sjinks,4200
ianstormtaylor,4199
coffeemug,4198
jordansissel,4197
pelson,4196
LorDClockaN,4190
strk,4187
mauk81,4185
pjedrzejewski,4183
bradleywright,4181
hodgestar,4175
mirantis-jenkins,4175
tarcieri,4175
ask,4173
ergoz,4172
kabum,4168
mikeNG,4166
plakraho,4164
dantleech,4157
parndt,4154
sdegutis,4149
aways,4138
pillowsoft,4135
lslezak,4130
sc0ttkclark,4117
zaqwes8811,4114
alexanderdean,4108
sergeyklay,4105
gvwilson,4101
peabody124,4098
unbit,4097
ednapiranha,4095
szeiger,4092
bstansberry,4088
weaverryan,4085
trustedsec,4071
JuanitoFatas,4068
jrburke,4064
johnynek,4062
ehazlett,4058
joshk,4055
PascalPrecht,4050
Heather,4043
facelessman,4037
plicease,4032
krishna221,4025
popcornmix,4016
githubteacher,4015
mrdoob,4012
pixelzoom,4011
rouault,4011
iGio90,4007
adamralph,4004
viatropos,3995
rabbitmq-github,3992
sgothel,3987
ribbons,3983
Licenser,3982
josef-pkt,3973
stloyd,3968
timgraham,3968
robhudson,3966
n1k0,3962
nuclearmistake,3961
caitp,3951
skopp,3947
kkaempf,3944
ansell,3940
kellyelton,3938
jacalvo,3938
onlinenews,3936
johnmyleswhite,3921
dovy,3918
bartvde,3915
samueljohn,3914
AndroidRul3z,3907
alfred-valve,3904
mjschranz,3900
crosbymichael,3900
Mazda--,3890
narkisr,3888
riskindex,3878
rmcgibbo,3871
shokai,3869
0xD34D,3865
bobsilverberg,3859
dstufft,3859
viable-hartman,3858
onyxfish,3853
Asmod4n,3853
monitoring-user,3851
fgrehm,3845
bskyb-commerce-helpcentre,3844
paultag,3839
carlosantoniodasilva,3838
coderhaoxin,3838
vanirmerger,3838
DamonOehlman,3835
kentfredric,3829
gunnarmorling,3825
trietptm,3823
MayhemYDG,3818
hhuijser,3817
cebe,3816
smichr,3807
dgageot,3802
hadley,3799
alext,3799
beneater,3794
lilmuckers,3794
dhacker29,3788
tzz,3784
daleharvey,3783
ArnedeBoer,3780
mbj,3777
kubark42,3777
Bajee11,3774
jrogelstad,3773
gregcaporaso,3769
imonteiro,3765
trustin,3765
jone,3764
jwerle,3762
Ponce,3757
kbarber,3756
birarda,3749
jrrideout,3744
minggo,3734
fusion94,3730
sgilda,3728
bantu,3727
pezholio,3725
synergydev,3725
bogavante,3724
trevnorris,3723
slickrick,3723
GerHobbelt,3718
grosser,3717
ericf,3715
wagenet,3714
ngokevin,3714
KevinGrandon,3711
certik,3710
patcon,3708
Eric89GXL,3708
twpayne,3706
anurse,3706
jstrachan,3705
gregmoser,3703
Andrei-Pozolotin,3702
djmitche,3702
RuudBurger,3700
meatballhat,3700
michielbdejong,3695
jroper,3695
metajack,3695
peterbe,3691
harbingerry,3690
crcn,3688
jonmak08,3686
barchart-builder,3684
jburel,3684
mathiasbynens,3684
SamSaffron,3681
PVince81,3680
huonw,3679
dinhviethoa,3673
josegonzalez,3671
garyrussell,3671
nickboldt,3669
davidmcclure,3666
badwolf9,3661
HmmmQuestionMark,3660
shiftkey,3656
gitster,3655
gencer,3654
tomchristie,3647
henry4j,3646
azakus,3646
jtimberman,3641
myint,3638
jihoonl,3635
RyanTech,3627
thedrow,3619
csjaba,3618
ZappoMan,3618
ogrisel,3612
harrah,3611
ralsina,3611
dbashford,3609
sylus,3605
timhilliard,3605
jcfr,3605
galderz,3605
pydanny,3599
makasim,3594
dzensystem,3590
creack,3590
alloy,3588
kajjjak,3586
MartijnR,3585
pchote,3585
sundeepchugani,3584
jortel,3583
FPtje,3582
planetsympy2,3575
webos-gerrit,3573
andreasohlund,3571
miyagawa,3569
syohex,3566
GregSutcliffe,3566
aledsage,3563
pcwalton,3562
benbalter,3562
danmcp,3559
kizu,3558
OmniBot,3556
abma,3551
terminalmage,3550
ujihisa,3546
yebblies,3543
evilaliv3,3540
simong,3534
3rd-Eden,3532
morristech,3531
cmr,3529
mramato,3527
juppe,3525
kurund,3525
eteq,3525
mreiferson,3524
Windfisch,3522
s1monw,3521
michaelficarra,3519
dschuermann,3516
mankins,3516
mhulse,3515
mcandre,3515
benjchristensen,3514
cloudedge,3511
nathanlws,3509
whimboo,3509
umaar,3507
momoplan,3504
csillag,3504
otrsbot,3503
ndawe,3503
cf-frameworks,3500
kynan,3496
eviltrout,3492
mcasperson,3489
jalcine,3488
aschempp,3484
portertech,3484
leoj3n,3482
nxbdi,3480
vthunder,3479
jenius,3478
gleeda,3475
shackbarth,3473
fredj,3471
guybedford,3466
sillsdevgerrit,3464
phillipuniverse,3458
Jacktony,3458
bherrington0421,3458
JamesMGreene,3454
paulp,3444
nthiebaud,3442
chenxiaolong,3439
meh,3439
justinvdm,3438
lukecampbell,3435
erikcas,3433
remy,3429
takluyver,3426
bcardarella,3424
vieux,3422
danielbachhuber,3421
ChrisWren,3420
yoavweiss,3419
gr2m,3416
jbosstm-bot,3416
nesquena,3415
eldy,3413
myleshorton,3413
sagotsky,3412
jpmckinney,3412
alexgibson,3412
thenickperson,3410
hvelarde,3410
rcpeters,3410
mislav,3409
dankamongmen,3403
MrZYX,3400
jaredhanson,3399
icy,3398
vicamo,3396
yosukehara,3394
mperham,3391
AliMD,3390
kensanata,3388
weblate,3387
davelab6,3386
koron,3386
fge,3386
lxnay,3382
rgommers,3381
palistov,3381
Underground78,3369
skivvies,3368
NgoHuy,3368
laanwj,3366
VictorLowther,3364
schiesbn,3363
seancribbs,3363
norton,3358
breck7,3354
knu,3354
rnicholus,3350
TommyJams,3349
crdlc,3348
m1kc,3342
bit-pirate,3335
Rivet-the-Zombie,3334
vshcherb,3332
andreypopp,3326
cash,3326
jonnyboy,3325
owainlewis,3323
rburchell,3320
shykes,3318
krlmlr,3318
RickEyre,3317
benlangfeld,3317
ip-cruisecontrol,3313
henrikhodne,3311
PivotLogix,3305
kiorky,3301
ramnathv,3299
nulltoken,3299
ToksT,3298
jaimeMF,3296
wedaly,3292
arthurnn,3289
Osmose,3286
bestpractical-mirror,3286
blueimp,3285
EvanTeitelman,3285
le717,3282
popomore,3280
bbodenmiller,3277
mtdowling,3276
ProLoser,3276
xtuaok,3276
jugglinmike,3273
thedax,3271
thekid,3267
philsturgeon,3266
Maks3w,3264
lgritz,3263
uGoMobi,3262
nisaacson,3259
Haacked,3257
armatthews,3257
alexrp,3257
TfT-02,3257
hsoft,3255
christav,3251
otiai10,3246
jtaylor-sfdc,3246
flavour,3243
kellyredding,3243
coyotte508,3243
Turbo87,3243
sbezborotest2,3241
leifwalsh,3238
Cocoanetics,3236
rkuhn,3235
ahmetabdi,3235
andyblac,3234
pv,3234
remomueller,3232
GaelVaroquaux,3231
gannetson,3230
jashkenas,3229
lukaseder,3228
tschaub,3226
MatthewMueller,3226
tkellen,3224
sharwell,3223
tdiesler,3222
loosethisskin,3220
houqp,3218
hanshoglund,3214
twostars,3213
daboross,3213
shr-project,3212
tomspilman,3210
macbre,3209
TooTallNate,3209
c9s,3208
dkubb,3207
felixgilles,3207
