actor,pessoa
,416091
KhanBugz,241947
boost-jenkins,221170
gugod,135685
wandjenkins,118104
ideatest1,113322
chapuni,101395
h4ck3rm1k3,97939
Try-Git,91456
asfgit,89078
wmfgerrit,79685
openstack-gerrit,69927
yahoo-bot,66878
wp-plugins-user,65626
lukeis,60739
dellcloudedge-jenkins,59670
antoniovazquezblanco,56028
cm-gerrit,44071
cato-,41310
ericvaandering,41025
threejs-cn,40937
mirror-updates,40226
apottere,39739
scipy-gitbot,38267
circle-api-test,37636
ehsan,37596
shopp-lighthouse-import,35600
dapi,34977
elgg-gitbot,34135
brianchandotcom,31982
joebell,30887
coveralls,30710
eidogram,30362
bors,29704
mmazur,29392
lalyos,28512
openshift-bot,27965
sbinet,27960
skirpichev-test,27877
xndcn,26799
sageb0t,24746
realguess,24226
H0TIR0N,23360
lh-import,23039
cichockimc,23024
gnomesysadmins,22092
yegor256,21931
trel,21562
hwine,21546
bcomdlc,21229
eclipse,21220
rsdnru,21098
flexdigit,21017
Habbie,20254
rosbuild,19587
dirk-thomas,19512
alma-dev,19195
bikesharebot,19087
gregnietsky,18553
AsherBond,18195
wladich,18133
adamv,17538
fabpot,17274
Borkason,17072
test8590,16807
wikkawik,16783
shantanusharma,16733
niceaji,16698
bitdeli-chef,16517
reduxionist,16243
citrix-openstack-build,15774
diversify-exp-user,15656
snoopycrimecop,15566
JT5D,15475
rcbjenkins,15280
sstjohn,15146
scottgonzalez,14558
bl-test-account,14521
aaaajunk,14194
mvl22,14159
Clementine-Issue-Importer,14091
aleafs,13973
openhab-migration,13583
govuk-ci,13567
jrmarino,13530
taylorotwell,13514
isucan,13192
mangband,12901
svn2github,12831
the-pastry-box-project,12780
21warrior,12773
ktf,12759
DeepDiver1975,12596
hrydgard,12496
llvm-mirror,12491
pjackson28,12442
sindresorhus,12310
jreback,12208
geometryzen,11968
stof,11908
fordream,11887
stonier,11828
maddisr,11770
Keithbsmiley,11600
wjwwood,11598
buildhive,11545
waneck,11512
radar,11488
skirpichev,11456
sbezborotest,11357
hehead,11356
jseabold,11321
jonathanong,11263
kuduautomation,11175
vrabaud,11001
SergeyZh,10975
sieste,10890
dbu,10717
circle-test-organization,10696
sethvargo,10536
mdo,10527
visionmedia,10522
turesheim,10478
unknownbrackets,10461
whit537,10425
jboss-as-pull-request,10390
shiftkey-tester,10238
kwrobot,10181
boegel,10134
ybakos,10131
tarsius,10072
ahendrix,10053
qtproject,10032
codeguru42,9936
chocolate-import,9903
cvan,9858
asmeurer,9768
dpackcartonmachine,9744
weierophinney,9724
aokp-gerrit,9701
AsteroidTrackerUpdateSystem,9691
illugerrit,9689
badlogic,9679
rdosser,9665
issuesbot,9657
jacknagel,9564
dstockwell,9562
thatch45,9553
josephwerman2,9494
parkr,9439
lsmith77,9429
bf4,9408
mpdehaan,9346
XhmikosR,9261
stefanpenner,9232
tmcw,9220
gerrit-ovirt-org,9136
sharpiceberg,9071
mpapis,8975
cvrebert,8972
Ocramius,8959
si-the-pie,8924
crynobone,8877
kisg,8783
cloudaice,8770
130s,8743
mitchellh,8722
slimgerrit,8592
tfoote,8579
s0undt3ch,8562
PipelinerArd,8560
nschonni,8497
wballard,8441
josevalim,8419
agarny,8416
ryanbrainard,8412
mayulu,8370
anirudhSK,8353
leostera,8351
alexcrichton,8311
jspahrsummers,8296
rafaelfranca,8251
lefnire,8243
d3stats,8207
juliocamarero,8193
minrk,8157
all4senses,8146
nicolaasmatthijs,8142
Ratmir15,8123
entoo,8055
coldnew,7999
nuxeojenkins,7999
ehough,7944
glamp,7940
romainneutron,7940
andrerod,7892
steveklabnik,7861
springmeyer,7829
artworx,7796
chinnucsk,7793
